File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskVerifier.java,41,5,3,0,6,0,30,109,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\Timer.java,49,11,7,0,7,0,31,88,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TimeTest.java,32,17,11,1,6,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\exceptions\TaskTimeFormatInvalidException.java,15,3,2,0,3,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\exceptions\TaskTimeInvalidException.java,22,8,5,0,5,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\exceptions\TaskTypeInvalidException.java,18,6,4,0,3,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces\RmiExecutorInterface.java,45,26,25,0,12,0,7,9,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces\RmiLocationsHandlerInterface.java,30,12,11,0,9,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces\RmiRemoteControlInterface.java,25,13,11,0,3,0,9,46,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces\RmiTaskManagerInterface.java,33,20,17,0,9,0,4,7,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\rmi\interfaces\RmiWebPageHandlerInterface.java,64,38,20,0,17,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\ExternalIOInterface.java,30,15,14,0,8,0,7,11,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\SysConsole.java,35,18,14,0,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\SysConsoleModulesDeclaration.java,75,50,25,1,16,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\external\sysconsole\exceptions\InterfacesLoadException.java,19,6,4,0,4,0,9,37,5,31
